Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
135,Rainbow: Nisha Rokubou no Shichinin,551,"Drama, Suspense",Madhouse,TV,26,22,Apr-10,Sep-10,"376,061",8.48
136,Yuru Camp△ Movie,2538,Slice of Life,C-Station,Movie,1,120,Jul-22,Jul-22,"61,703",8.48
137,Chihayafuru 3,1545,"Drama, Sports",Madhouse,TV,24,22,Oct-19,Mar-20,"129,607",8.47
138,Gintama: The Semi-Final,2435,"Action, Comedy",Bandai Namco Pictures,Special,2,24,Jan-21,Jan-21,"66,472",8.47
139,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,592,"Award Winning, Drama, Mystery, Suspense",Shaft,Movie,1,116,Oct-13,Oct-13,"356,362",8.47
140,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,249,"Adventure, Comedy, Fantasy",J.C.Staff,Movie,1,90,Aug-19,Aug-19,"703,341",8.46
141,Nichijou,185,Comedy,Kyoto Animation,TV,26,23,Apr-11,Sep-11,"838,490",8.46
142,Fruits Basket: Prelude,2101,"Drama, Romance",TMS Entertainment,Movie,1,68,Feb-22,Feb-22,"85,185",8.46
143,Golden Kamuy 3rd Season,1400,"Action, Adventure",Geno Studio,TV,12,23,Oct-20,Dec-20,"148,404",8.45
144,Yuu☆Yuu☆Hakusho,289,"Action, Comedy, Supernatural",Pierrot,TV,112,24,Oct-92,Jan-95,"643,141",8.45
145,Zoku Owarimonogatari,1032,"Comedy, Mystery, Supernatural",Shaft,Movie,6,28,Nov-18,Nov-18,"211,028",8.45
146,Mo Dao Zu Shi,1024,"Action, Adventure, Drama, Fantasy, Mystery",B.CMAY PICTURES,ONA,15,25,Jul-18,Oct-18,"212,540",8.45
147,Owarimonogatari,442,"Comedy, Mystery, Supernatural",Shaft,TV,12,26,Oct-15,Dec-15,"455,848",8.45
148,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,203,"Drama, Fantasy, Suspense",White Fox,TV,12,29,Jan-21,Mar-21,"791,204",8.45
149,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,346,"Drama, Sci-Fi",White Fox,Movie,1,90,Apr-13,Apr-13,"563,350",8.45
150,Mushishi Zoku Shou: Odoro no Michi,1953,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,Special,1,47,Aug-14,Aug-14,"95,490",8.44
151,Saenai Heroine no Sodatekata Fine,1272,"Comedy, Romance",Aniplex,Movie,1,114,Oct-19,Oct-19,"168,490",8.44
152,The First Slam Dunk,4936,Sports,"Toei Animation, DandeLion Animation Studio",Movie,1,124,Dec-22,Dec-22,"15,885",8.44
153,Tian Guan Ci Fu Special,3320,"Drama, Supernatural",Haoliners Animation League,ONA,1,22,Feb-21,Feb-21,"37,640",8.44
154,Haikyuu!!,36,Sports,Production I.G,TV,25,24,Apr-14,Sep-14,"1,834,323",8.44
155,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,133,"Action, Adventure, Drama, Supernatural",David Production,TV,24,23,Jan-15,Jun-15,"1,024,367",8.44
156,Karakai Jouzu no Takagi-san 3,1296,Comedy,Shin-Ei Animation,TV,12,24,Jan-22,Mar-22,"164,189",8.44
157,Gintama: Yorinuki Gintama-san on Theater 2D,3137,"Action, Comedy, Sci-Fi",Sunrise,Movie,2,96,Aug-12,Aug-12,"41,859",8.43
158,Grand Blue,245,Comedy,Zero-G,TV,12,24,Jul-18,Sep-18,"712,136",8.43
159,Kono Oto Tomare! Part 2,1340,"Drama, Romance",Platinum Vision,TV,13,23,Oct-19,Dec-19,"158,766",8.43
160,Mo Dao Zu Shi: Xian Yun Pian,1954,"Action, Adventure, Drama, Fantasy, Mystery",B.CMAY PICTURES,ONA,8,24,Aug-19,Sep-19,"95,465",8.43
161,Mononoke,717,"Fantasy, Horror, Mystery, Supernatural",Toei Animation,TV,12,22,Jul-07,Sep-07,"301,388",8.43
162,Saiki Kusuo no Ψ-nan 2,329,"Comedy, Supernatural","J.C.Staff, Egg Firm",TV,24,24,Jan-18,Jun-18,"590,901",8.43
163,Koukaku Kidoutai: Stand Alone Complex,539,"Action, Award Winning, Sci-Fi",Production I.G,TV,26,25,Oct-02,Oct-03,"380,555",8.42
164,Saiki Kusuo no Ψ-nan,136,"Comedy, Supernatural","J.C.Staff, Egg Firm",TV,120,5,Jul-16,Dec-16,"1,011,926",8.42
165,Josee to Tora to Sakana-tachi,575,"Drama, Romance",Bones,Movie,1,98,Dec-20,Dec-20,"364,158",8.42
166,Vivy: Fluorite Eye's Song,411,"Action, Sci-Fi, Suspense",Wit Studio,TV,13,24,Apr-21,Jun-21,"480,615",8.42
167,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,541,"Drama, Fantasy",Kyoto Animation,Movie,1,91,Sep-19,Sep-19,"378,876",8.41
168,Wu Liuqi: Xuanwu Guo Pian,2853,"Action, Adventure, Comedy, Drama, Mystery",Sharefun Studio,ONA,10,16,Jan-21,May-21,"49,829",8.41
169,Major S5,2394,Sports,SynergySP,TV,25,24,Jan-09,Jun-09,"68,186",8.41
170,Natsume Yuujinchou Movie: Utsusemi ni Musubu,2441,"Drama, Slice of Life, Supernatural",Shuka,Movie,1,104,Sep-18,Sep-18,"65,995",8.41
171,Shingeki no Kyojin: Kuinaki Sentaku,414,Action,Wit Studio,OVA,2,27,Dec-14,Apr-15,"479,077",8.41
172,Hunter x Hunter,354,"Action, Adventure, Fantasy",Nippon Animation,TV,62,23,Oct-99,Mar-01,"555,659",8.41
173,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,54,Comedy,A-1 Pictures,TV,12,25,Jan-19,Mar-19,"1,589,998",8.41
